"Plot Title: Riggert"
"#","Date Time, GMT-07:00","AC Curr, Amps (LGR S/N: 10047347, SEN S/N: 10047347, LBL: SFan)","End Of File (LGR S/N: 10047347)"
432,07/06/16 12:16:44 PM,0.054,
433,07/06/16 12:19:44 PM,0.054,
434,07/06/16 12:22:44 PM,0.054,
435,07/06/16 12:25:44 PM,0.054,
436,07/06/16 12:28:44 PM,0.054,
437,07/06/16 12:31:44 PM,0.054,
438,07/06/16 12:34:44 PM,0.068,
439,07/06/16 12:37:44 PM,0.054,
440,07/06/16 12:40:44 PM,0.054,
441,07/06/16 12:43:44 PM,0.054,
442,07/06/16 12:46:44 PM,0.054,
443,07/06/16 12:49:44 PM,0.054,
444,07/06/16 12:52:44 PM,12.381,
445,07/06/16 12:55:44 PM,12.576,
446,07/06/16 12:58:44 PM,0.073,
447,07/06/16 01:01:44 PM,0.054,
448,07/06/16 01:04:44 PM,0.054,
449,07/06/16 01:07:44 PM,0.054,
450,07/06/16 01:10:44 PM,0.054,
451,07/06/16 01:13:44 PM,0.054,
452,07/06/16 01:16:44 PM,0.054,
453,07/06/16 01:19:44 PM,0.054,
454,07/06/16 01:22:44 PM,0.054,
455,07/06/16 01:25:44 PM,0.049,
456,07/06/16 01:28:44 PM,12.557,
457,07/06/16 01:31:44 PM,12.586,
458,07/06/16 01:34:44 PM,0.063,
459,07/06/16 01:37:44 PM,0.054,
460,07/06/16 01:40:44 PM,0.054,
461,07/06/16 01:43:44 PM,0.054,
462,07/06/16 01:46:44 PM,0.049,
463,07/06/16 01:49:44 PM,0.054,
464,07/06/16 01:52:44 PM,0.054,
465,07/06/16 01:55:44 PM,0.049,
466,07/06/16 01:58:44 PM,0.049,
467,07/06/16 02:01:44 PM,12.777,
468,07/06/16 02:04:44 PM,12.869,
469,07/06/16 02:07:44 PM,0.054,
470,07/06/16 02:10:44 PM,0.049,
471,07/06/16 02:13:44 PM,0.049,
472,07/06/16 02:16:44 PM,0.049,
473,07/06/16 02:19:44 PM,0.049,
474,07/06/16 02:22:44 PM,0.049,
475,07/06/16 02:25:44 PM,0.049,
476,07/06/16 02:28:44 PM,0.049,
477,07/06/16 02:31:44 PM,13.104,
478,07/06/16 02:34:44 PM,13.197,
479,07/06/16 02:37:44 PM,13.104,
480,07/06/16 02:40:44 PM,13.070,
481,07/06/16 02:43:44 PM,13.026,
482,07/06/16 02:46:44 PM,13.079,
483,07/06/16 02:49:44 PM,13.143,
484,07/06/16 02:52:44 PM,13.148,
485,07/06/16 02:55:44 PM,13.079,
486,07/06/16 02:58:44 PM,13.118,
487,07/06/16 03:01:44 PM,13.270,
488,07/06/16 03:04:44 PM,13.128,
489,07/06/16 03:07:44 PM,13.363,
490,07/06/16 03:10:44 PM,13.270,
491,07/06/16 03:13:44 PM,0.049,
492,07/06/16 03:16:44 PM,0.044,
493,07/06/16 03:19:44 PM,0.049,
494,07/06/16 03:22:44 PM,13.343,
495,07/06/16 03:25:44 PM,13.377,
496,07/06/16 03:28:44 PM,13.299,
497,07/06/16 03:31:44 PM,13.353,
498,07/06/16 03:34:44 PM,13.460,
499,07/06/16 03:37:44 PM,13.368,
500,07/06/16 03:40:44 PM,13.431,
501,07/06/16 03:43:44 PM,13.255,
502,07/06/16 03:46:44 PM,13.397,
503,07/06/16 03:49:44 PM,0.044,
504,07/06/16 03:52:44 PM,0.063,
505,07/06/16 03:55:44 PM,13.578,
506,07/06/16 03:58:44 PM,13.333,
507,07/06/16 04:01:44 PM,13.372,
508,07/06/16 04:04:44 PM,13.451,
509,07/06/16 04:07:44 PM,13.407,
510,07/06/16 04:10:44 PM,13.524,
511,07/06/16 04:13:44 PM,13.568,
512,07/06/16 04:16:44 PM,0.039,
513,07/06/16 04:19:44 PM,0.039,
514,07/06/16 04:22:44 PM,0.039,
515,07/06/16 04:25:44 PM,13.685,
516,07/06/16 04:28:44 PM,13.587,
517,07/06/16 04:31:44 PM,13.455,
518,07/06/16 04:34:44 PM,13.504,
519,07/06/16 04:37:44 PM,13.499,
520,07/06/16 04:40:44 PM,13.485,
521,07/06/16 04:43:44 PM,0.039,
522,07/06/16 04:46:44 PM,0.039,
523,07/06/16 04:49:44 PM,13.372,
524,07/06/16 04:52:44 PM,13.153,
525,07/06/16 04:55:44 PM,13.226,
526,07/06/16 04:58:44 PM,13.153,
527,07/06/16 05:01:44 PM,13.221,
528,07/06/16 05:04:44 PM,0.044,
529,07/06/16 05:07:44 PM,0.039,
530,07/06/16 05:10:44 PM,0.039,
531,07/06/16 05:13:44 PM,0.039,
532,07/06/16 05:16:44 PM,13.319,
533,07/06/16 05:19:44 PM,13.324,
534,07/06/16 05:22:44 PM,13.231,
535,07/06/16 05:25:44 PM,13.201,
536,07/06/16 05:28:44 PM,0.044,
537,07/06/16 05:31:44 PM,0.044,
538,07/06/16 05:34:44 PM,0.039,
539,07/06/16 05:37:44 PM,13.392,
540,07/06/16 05:40:44 PM,13.089,
541,07/06/16 05:43:44 PM,13.250,
542,07/06/16 05:46:44 PM,13.114,
543,07/06/16 05:49:44 PM,0.044,
544,07/06/16 05:52:44 PM,0.044,
545,07/06/16 05:55:44 PM,0.044,
546,07/06/16 05:58:44 PM,13.206,
547,07/06/16 06:01:44 PM,12.977,
548,07/06/16 06:04:44 PM,12.904,
549,07/06/16 06:07:44 PM,12.864,
550,07/06/16 06:10:44 PM,0.044,
551,07/06/16 06:13:44 PM,0.044,
552,07/06/16 06:16:44 PM,0.044,
553,07/06/16 06:19:44 PM,13.201,
554,07/06/16 06:22:44 PM,12.791,
555,07/06/16 06:25:44 PM,12.733,
556,07/06/16 06:28:44 PM,0.049,
557,07/06/16 06:31:44 PM,0.044,
558,07/06/16 06:34:44 PM,0.044,
559,07/06/16 06:37:44 PM,0.044,
560,07/06/16 06:40:44 PM,0.044,
561,07/06/16 06:43:44 PM,12.488,
562,07/06/16 06:46:44 PM,12.508,
563,07/06/16 06:49:44 PM,0.049,
564,07/06/16 06:52:44 PM,0.049,
565,07/06/16 06:55:44 PM,0.049,
566,07/06/16 06:58:44 PM,0.049,
567,07/06/16 07:01:44 PM,0.049,
568,07/06/16 07:04:44 PM,12.493,
569,07/06/16 07:07:44 PM,12.352,
570,07/06/16 07:10:44 PM,12.234,
571,07/06/16 07:13:44 PM,0.049,
572,07/06/16 07:16:44 PM,0.049,
573,07/06/16 07:19:44 PM,0.049,
574,07/06/16 07:22:44 PM,0.049,
575,07/06/16 07:25:44 PM,0.049,
576,07/06/16 07:28:44 PM,12.117,
577,07/06/16 07:31:44 PM,0.054,
578,07/06/16 07:34:44 PM,0.049,
579,07/06/16 07:37:44 PM,0.049,
580,07/06/16 07:40:44 PM,0.049,
581,07/06/16 07:43:44 PM,0.049,
582,07/06/16 07:46:44 PM,0.049,
583,07/06/16 07:49:44 PM,0.054,
584,07/06/16 07:52:44 PM,0.049,
585,07/06/16 07:55:44 PM,0.054,
586,07/06/16 07:58:44 PM,0.054,
587,07/06/16 08:01:44 PM,0.054,
588,07/06/16 08:04:44 PM,0.054,
589,07/06/16 08:07:44 PM,0.054,
590,07/06/16 08:10:44 PM,0.054,
591,07/06/16 08:13:44 PM,0.054,
592,07/06/16 08:16:44 PM,0.054,
593,07/06/16 08:19:44 PM,0.054,
594,07/06/16 08:22:44 PM,0.054,
595,07/06/16 08:25:44 PM,0.054,
596,07/06/16 08:28:44 PM,0.054,
597,07/06/16 08:31:44 PM,0.054,
598,07/06/16 08:34:44 PM,0.054,
599,07/06/16 08:37:44 PM,0.054,
600,07/06/16 08:40:44 PM,0.054,
601,07/06/16 08:43:44 PM,0.054,
602,07/06/16 08:46:44 PM,0.054,
603,07/06/16 08:49:44 PM,0.054,
604,07/06/16 08:52:44 PM,0.054,
605,07/06/16 08:55:44 PM,0.059,
606,07/06/16 08:58:44 PM,0.059,
607,07/06/16 09:01:44 PM,0.059,
608,07/06/16 09:04:44 PM,0.059,
609,07/06/16 09:07:44 PM,0.059,
610,07/06/16 09:10:44 PM,0.059,
611,07/06/16 09:13:44 PM,0.054,
612,07/06/16 09:16:44 PM,0.059,
613,07/06/16 09:19:44 PM,0.059,
614,07/06/16 09:22:44 PM,0.054,
615,07/06/16 09:25:44 PM,0.059,
616,07/06/16 09:28:44 PM,0.054,
617,07/06/16 09:31:44 PM,0.059,
618,07/06/16 09:34:44 PM,0.059,
619,07/06/16 09:37:44 PM,0.059,
