Plot Title: 9730047			
#	"Date Time, GMT-07:00"	"AC Curr, Amps (LGR S/N: 9730047, SEN S/N: 9730047)"	End Of File (LGR S/N: 9730047)
436	7/7/2016 9:05	0.01	0
437	7/7/2016 9:08	0.01	0
438	7/7/2016 9:11	0.01	0
439	7/7/2016 9:14	0.01	0
440	7/7/2016 9:17	0.01	0
441	7/7/2016 9:20	0.01	0
442	7/7/2016 9:23	0.01	0
443	7/7/2016 9:26	0.01	0
444	7/7/2016 9:29	0.01	0
445	7/7/2016 9:32	0.01	0
446	7/7/2016 9:35	0.01	0
447	7/7/2016 9:38	0.01	0
448	7/7/2016 9:41	0.01	0
449	7/7/2016 9:44	0.01	0
450	7/7/2016 9:47	0.01	0
451	7/7/2016 9:50	0.01	0
452	7/7/2016 9:53	0.01	0
453	7/7/2016 9:56	0.01	0
454	7/7/2016 9:59	0.01	0
455	7/7/2016 10:02	0.01	0
456	7/7/2016 10:05	0.01	0
457	7/7/2016 10:08	0.01	0
458	7/7/2016 10:11	0.01	0
459	7/7/2016 10:14	0.01	0
460	7/7/2016 10:17	0.01	0
461	7/7/2016 10:20	0.01	0
462	7/7/2016 10:23	0.01	0
463	7/7/2016 10:26	0.01	0
464	7/7/2016 10:29	0.01	0
465	7/7/2016 10:32	0.01	0
466	7/7/2016 10:35	0.01	0
467	7/7/2016 10:38	0.01	0
468	7/7/2016 10:41	0.01	0
469	7/7/2016 10:44	0.01	0
470	7/7/2016 10:47	0.01	0
471	7/7/2016 10:50	0.01	0
472	7/7/2016 10:53	0.01	0
473	7/7/2016 10:56	0.01	0
474	7/7/2016 10:59	0.01	0
475	7/7/2016 11:02	0.01	0
476	7/7/2016 11:05	0.01	0
477	7/7/2016 11:08	0.01	0
478	7/7/2016 11:11	0.01	0
479	7/7/2016 11:14	0.01	0
480	7/7/2016 11:17	0.01	0
481	7/7/2016 11:20	0.01	0
482	7/7/2016 11:23	0.01	0
483	7/7/2016 11:26	0.01	0
484	7/7/2016 11:29	0.01	0
485	7/7/2016 11:32	0.01	0
486	7/7/2016 11:35	0.01	0
487	7/7/2016 11:38	0.01	0
488	7/7/2016 11:41	0.01	0
489	7/7/2016 11:44	0.01	0
